x	y
19.596	695.1293187
19.6092	695.786545
19.6248	696.5781663
19.638	697.2574454
19.6536	698.0667018
19.668	698.8213936
19.6824	699.5903143
19.698	700.4288558
19.7124	701.2013491
19.7268	701.9798846
19.7412	702.7688864
19.752	703.3695156
19.7676	704.2542767
19.782	705.0894991
19.7976	706.0119691
19.8108	706.8041296
19.824	707.6038455
19.8396	708.5528708
19.8528	709.356765
19.8672	710.2368793
19.8816	711.1231733
19.896	712.0166662
19.9116	712.9904892
19.926	713.8874633
19.9416	714.8488861
19.9548	715.6553816
19.968	716.4638049
19.9836	717.4262881
19.9968	718.2448789
20.0124	719.2146888
20.0268	720.1063412
20.04	720.9185142
20.0532	721.7309523
20.0664	722.5483405
20.0796	723.3647762
20.094	724.2500402
20.1072	725.0638259
20.1204	725.880763
20.1348	726.7695149
20.1492	727.6580486
20.1624	728.4796342
20.1792	729.5359322
20.1936	730.4507099
20.2068	731.2978344
20.22	732.1522486
20.2332	733.0139267
20.2476	733.9568011
20.262	734.8989916
20.2764	735.8447115
20.2908	736.7956983
20.3052	737.7483386
20.3208	738.7845449
20.334	739.6674139
20.3496	740.7201307
20.364	741.6992318
20.3784	742.6793382
20.394	743.7359188
20.4072	744.6234812
20.4216	745.5853108
20.4372	746.6262605
20.4504	747.5100572
20.4648	748.4688447
20.4792	749.4161449
20.4936	750.3601902
20.508	751.3027049
20.5212	752.1627352
20.538	753.2567254
20.5512	754.1178241
20.5656	755.0567672
20.58	755.9958623
20.5944	756.9354113
20.61	757.9557095
20.6232	758.823518
20.6388	759.8559372
20.6532	760.8107863
20.6676	761.7610038
20.6832	762.7878107
20.6976	763.7380743
20.712	764.6927812
20.7276	765.7321547
20.7408	766.6146959
20.7552	767.5786546
20.7684	768.4616115
20.7816	769.3416962
20.796	770.2993633
20.8092	771.1783317
20.8236	772.1377952
20.8368	773.0161803
20.8512	773.9749883
20.8656	774.9327194
20.8788	775.804687
20.8932	776.7489034
20.9076	777.6896446
20.922	778.6327626
20.9364	779.5807579
20.9508	780.5299328
20.9652	781.4755575
20.9796	782.4162584
20.994	783.3551119
21.0084	784.2953088
21.024	785.3144865
21.0396	786.3325739
21.054	787.2714239
21.0696	788.2916482
21.0828	789.158884
21.0972	790.1080483
21.1128	791.137452
21.1272	792.0712085
21.1428	793.0365689
21.1572	793.8655174
21.1716	794.6075606
21.186	795.2228251
21.2004	795.6925368
21.216	796.0415869
21.2316	796.2402795
21.2436	796.3010524
21.2592	796.2815416
21.2724	796.2057382
21.288	796.064419
21.3036	795.8890728
21.3168	795.7260612
21.3312	795.5386598
21.3444	795.3465841
21.36	795.0541456
21.3756	794.6683304
21.39	794.2313914
21.4044	793.7436417
21.4176	793.2730583
21.432	792.7556393
21.4476	792.2033135
21.462	791.7033963
21.4764	791.215561
21.4896	790.7855669
21.504	790.3598728
21.5184	789.9902295
21.5316	789.7006515
21.546	789.4321018
21.5604	789.198059
