Time    	Lin Cylinder_BoomLift_L x
22.104	808.3246186
22.1184	808.1565919
22.1316	807.7397898
22.1472	807.0575841
22.1604	806.1156254
22.176	805.2133669
22.1916	804.4641755
22.206	803.7566089
22.2204	803.3200824
22.2348	802.9831197
22.2492	802.7397042
22.2636	802.5853517
22.278	802.4962
22.2936	802.4900666
22.308	802.5144382
22.3212	802.5964308
22.3368	802.7568336
22.3512	802.9926942
22.3668	803.2346186
22.38	803.5439438
22.3944	803.8440449
22.41	804.1366197
22.4232	804.4113153
22.4388	804.7259488
22.4532	805.0139329
22.4676	805.3574997
22.482	805.7820013
22.4964	806.1346628
22.5108	806.4764717
22.5252	806.735934
22.5372	806.9510169
22.5516	807.0945258
22.566	807.1690432
22.5804	807.1821809
22.596	807.1814351
22.6092	807.1801897
22.6236	807.1674069
22.638	807.1092001
22.6512	806.9794156
22.6656	806.7645126
22.68	806.5621837
22.6956	806.307327
22.71	806.0829262
22.7244	805.8515797
22.7376	805.6315245
22.752	805.4131838
22.7688	805.190397
22.7832	804.9721782
22.7976	804.7672158
22.8096	804.5996412
22.824	804.4603056
22.8396	804.3438825
22.854	804.2712958
22.8684	804.2261561
22.8828	804.2209106
22.896	804.2211575
22.9116	804.2204686
22.9248	804.199714
22.9392	804.0998246
22.9536	803.8997347
22.968	803.5199977
22.9836	803.0413645
22.9968	802.5461654
23.0112	802.1421846
23.0256	801.7728349
23.04	801.4864892
23.0556	801.2135232
23.0688	800.8845071
23.0844	800.5081432
23.0988	800.093011
23.1132	799.6939718
23.1276	799.2315528
23.142	798.6624229
23.1576	798.0965296
23.1708	797.3779452
23.184	796.6270041
23.1996	795.7246374
23.214	794.774954
23.2284	793.9009483
23.2404	792.9751803
23.2548	792.0952733
23.2692	790.3496634
23.2824	789.6591742
23.298	788.8193595
23.3124	787.884162
23.3268	786.991584
23.3412	786.0628147
23.3556	785.2583776
23.37	784.1807245
23.3844	783.257768
23.3988	782.1791716
23.412	781.2911124
23.4264	780.3546135
23.442	779.3755506
23.4564	778.5039078
23.4696	777.668915
23.484	776.9972975
23.4972	776.2138615
23.5116	775.5095137
23.5248	774.8746205
23.5404	774.1116672
23.5536	773.405645
23.568	772.6273884
23.5824	771.8398951
23.5968	771.0428483
23.6112	770.3076441
23.6244	769.5752572
23.64	768.7821385
23.6556	768.062707
23.67	767.2932353
23.6844	766.6020482
23.6976	765.8563307
23.712	765.1641035
23.7264	764.3008197
23.7408	763.3446744
23.7564	762.4440381
23.7696	761.3588205
23.784	760.3719811
23.7996	759.2115749
23.814	757.7585275
23.8296	756.4691647
23.8428	754.8807951
23.856	753.4821034
23.8716	751.8962805
23.8848	750.2521402
23.8992	748.5533777
23.9136	746.8028418
23.928	744.8423588
23.9436	742.965138
23.9568	741.0097874
23.9724	739.1467477
23.9868	737.0502704
24.0012	735.0866239
24.0156	733.102352
24.03	731.1134491
24.0444	729.1357952
24.06	726.819582
24.072	724.8778644
24.0864	722.624163
24.0996	720.5894664
24.114	718.5956891
24.1272	716.6398097
24.1416	714.878124
24.156	712.9853341
24.1692	711.1172401
24.1836	709.426345
24.198	707.6030721
24.2124	705.6529936
24.2268	703.8778294
24.24	702.1292106
24.2556	700.4097004
24.2688	698.7127302
24.2808	697.1703567
24.294	695.3636993
24.3072	693.846262
24.3216	692.3314014
24.336	690.6752765
24.3516	689.1497278
24.366	687.4719193
24.3804	685.9182969
24.3948	684.2013644
24.408	682.6060628
24.4236	680.8440237
24.4356	679.0647111
24.4524	677.1231771
24.4668	675.3160163
24.4812	673.4971602
24.4968	671.6734888
24.51	669.8429804
24.5256	668.003375
24.54	666.1559448
24.5544	664.3059873
24.57	662.4604548
24.5844	660.4664808
24.6	658.6265377
24.6144	656.6288971
24.6288	654.7812547
24.6432	653.0905632
24.6564	651.1059774
24.6708	649.4429495
24.6864	647.4940023
24.6996	645.7076757
24.714	644.0811073
24.7272	642.3170556
24.7416	640.7056185
24.756	638.9516883
24.7692	637.3436146
24.7836	635.583812
24.798	633.8192649
24.8124	632.0533078
24.8268	630.2874206
24.84	628.5215066
24.8556	626.7566084
24.8688	625.1354944
24.8832	623.3604666
24.8976	621.5879131
24.912	619.8213457
24.9276	618.197772
24.942	616.5670553
24.9564	614.7798855
24.9708	613.1357482
24.984	611.4892908
24.9996	609.5408493
25.014	607.5879725
25.0296	605.7853353
25.0428	603.8379421
25.0584	601.897554
25.074	599.9691661
25.0884	598.3435967
25.1028	596.5686208
25.1172	594.6448909
25.1304	592.8683695
25.146	589.602395
25.1604	587.9700535
25.176	586.0430537
25.1904	584.2659682
25.2036	582.4926219
25.218	580.5764075
25.2324	578.8086702
25.248	576.8975958
25.2624	575.2839627
25.2756	573.5221485
25.2912	571.9038658
25.3056	570.2853335
25.32	568.3711419
25.3356	566.6001613
25.3488	564.8300168
25.3644	563.058181
25.3776	561.4257166
25.392	559.6427175
25.4064	557.8684937
25.4196	556.0997519
25.4352	554.3326883
25.4484	552.5680323
25.464	550.6570197
25.4796	548.7421672
25.494	546.8189827
25.5084	545.039751
25.5216	543.4111863
25.536	541.6393458
25.5504	539.8701844
25.5612	538.1048525
25.5744	536.3406095
25.5888	534.7211961
25.602	532.9599549
25.614	531.2080036
25.6284	529.3112943
25.644	527.5548481
25.6584	525.93922
25.674	524.1732397
25.6884	522.5541015
25.7028	520.7911849
25.7172	519.1781207
25.7292	517.4214096
25.7436	515.5145151
25.758	514.0421684
25.7736	512.1250627
25.788	510.3570974
25.8012	508.5937312
25.8168	506.6916823
25.8312	505.0868755
25.8456	503.3330175
